,MOTHER_JOB,FATHER_JOB,GENDER,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),GRADE
189,5,2,0,11.5,12.0,12
190,5,5,0,12.0,12.5,12
191,5,4,0,10.0,10.0,10
192,5,4,0,0.0,0.0,0
193,5,5,0,0.0,0.0,0
194,5,5,0,12.24285714,12.24285714,12
195,4,5,0,0.0,0.0,0
196,5,5,0,12.93375,12.93375,13
197,3,3,0,0.0,0.0,0
198,4,5,0,12.57142857,14.42857143,14
199,5,5,0,11.81666667,11.33333333,12
200,5,5,0,13.75,14.33333333,14
201,5,1,0,11.16666667,11.33333333,11
202,5,5,0,12.32428571,12.32428571,12
203,5,5,0,12.16666667,11.71428571,12
204,5,5,0,11.14285714,11.25,11
205,1,1,0,11.0,10.75,11
206,5,5,0,12.91428571,12.91428571,13
207,2,5,0,13.83333333,14.16666667,14
208,5,5,0,13.85714286,13.4,14
209,3,4,0,13.71428571,12.8,13
210,5,5,0,12.64285714,12.64285714,13
211,5,5,0,12.91666667,12.91666667,13
212,5,3,0,15.625,15.85714286,16
213,5,5,0,0.0,0.0,0
214,5,5,0,11.71428571,12.0,12
215,5,5,0,12.125,13.3125,13
216,5,5,0,11.6,11.6,12
217,5,5,0,10.0,0.0,5
218,5,5,0,10.0,0.0,5
219,2,4,0,0.0,13.5,7
220,5,5,0,13.0,12.33333333,13
221,5,5,0,13.33333333,14.5,14
222,4,4,0,11.25,12.5,12
223,5,5,0,13.85,12.19285714,13
224,5,5,0,13.74166667,14.9125,14
225,4,4,0,15.33333333,15.8,16
226,4,5,0,11.0,13.8,12
227,5,5,0,12.0,12.85714286,12
228,1,1,0,0.0,0.0,0
229,5,5,0,11.57142857,11.57142857,12
230,5,5,0,12.85714286,12.66666667,13
231,5,5,0,0.0,0.0,0
232,5,4,0,13.0,13.2,13
233,5,5,0,11.0,12.0,12
234,5,5,0,12.0,15.0,14
235,5,5,0,12.6,13.0,13
236,5,5,0,13.4,13.16666667,13
237,4,5,0,11.33333333,11.57142857,11
238,5,5,0,13.5,14.25,14
239,5,5,0,11.75,10.33333333,11
240,5,5,0,12.47142857,11.4625,12
241,4,4,0,12.90909091,13.55555556,13
242,5,5,0,11.6,13.6,13
243,5,2,0,0.0,0.0,0
244,5,5,0,12.9,12.36363636,13
245,5,4,0,13.22,13.22,13
246,5,5,0,13.15142857,13.15142857,13
247,5,5,0,12.75,11.33333333,12
248,5,5,0,11.33333333,12.25,12
249,5,5,0,13.25,14.14285714,14
250,5,5,0,12.4,12.4,12
251,5,5,0,15.0,12.83333333,14
252,5,5,0,14.4,13.0,14
253,5,5,0,11.0,0.0,6
254,5,5,0,12.4,10.8,12
255,5,5,0,16.0,0.0,8
256,5,5,0,13.57142857,12.33333333,13
257,5,5,0,11.83333333,12.5,12
258,5,5,0,11.66666667,12.66666667,12
259,4,2,0,11.83333333,13.0,12
260,5,5,0,11.16666667,10.6,11
261,5,5,0,0.0,0.0,0
262,5,5,0,11.75,12.16666667,12
263,5,5,0,14.0,14.0,14
264,5,5,0,12.83333333,12.0,12
265,2,4,0,12.25,11.66666667,12
266,3,4,0,14.82857143,14.82857143,15
267,5,5,0,11.4,12.8,12
268,5,5,0,13.0,12.5,13
269,5,5,0,13.67142857,13.67142857,14
270,5,5,0,12.66666667,12.8,13
271,5,5,0,10.0,13.0,12
272,5,5,0,13.5,12.33333333,13
273,3,5,0,12.67,13.55,13
274,5,5,0,14.5,15.42857143,15
275,5,5,0,13.68571429,15.3875,15
276,4,4,0,11.0,10.66666667,11
277,3,1,0,11.55555556,13.2,12
278,5,5,0,13.79714286,13.775,14
279,5,5,0,14.00375,13.81285714,14
280,5,5,0,12.0,11.4,12
281,5,5,0,14.16666667,14.16666667,14
282,5,5,0,14.0,13.8,14
283,5,5,0,13.8,12.83333333,13
284,1,1,0,12.8,11.85714286,12
285,5,5,0,12.16666667,13.83333333,13
286,3,5,0,12.5,12.33333333,12
287,5,3,0,12.0,11.5,12
288,4,5,0,10.83333333,11.5,11
289,2,2,0,13.385,13.385,13
290,5,5,0,15.66666667,14.5,15
291,5,5,0,14.33333333,13.83333333,14
292,5,5,0,11.42857143,13.0,12
293,5,5,0,11.66666667,11.66666667,12
294,4,5,0,12.0,11.33333333,12
295,3,5,0,14.72571429,14.72571429,15
296,5,5,0,14.16666667,13.66666667,14
297,4,4,0,11.57142857,12.33333333,12
298,5,5,0,12.5,13.1375,13
299,5,5,0,12.86,12.86,13
300,5,5,0,12.25,13.71428571,13
301,5,5,0,12.0,12.2,12
302,5,5,0,15.11666667,16.16888889,16
303,5,5,0,12.5,10.25,11
304,5,4,0,0.0,0.0,0
305,5,5,0,11.0,11.0,11
306,5,5,0,11.875,14.6,13
307,5,5,0,11.0,0.0,6
308,5,5,0,15.2,13.2,14
309,5,5,0,11.6,11.0,11
310,3,2,0,14.83333333,15.14285714,15
311,1,1,0,11.33333333,11.33333333,11
312,5,5,0,11.2,11.8,12
313,5,5,0,13.4,13.66666667,14
314,5,5,0,10.5,0.0,5
315,5,4,0,16.2,16.4,16
316,4,5,0,14.54285714,14.88181818,15
317,4,5,0,13.69428571,14.35555556,14
318,5,5,0,11.28571429,11.85714286,12
319,5,5,0,11.75714286,13.08333333,12
320,5,5,0,0.0,0.0,0
321,5,5,0,13.05857143,13.05857143,13
322,5,2,0,14.3,14.05555556,14
323,5,5,0,11.8,12.0,12
324,5,5,0,10.33333333,13.0,12
325,5,5,0,10.57142857,11.66666667,11
326,5,5,0,13.33333333,13.33333333,13
327,5,5,0,11.85714286,11.0,11
328,5,5,0,12.6,11.4,12
329,5,5,0,14.0,11.6,13
330,5,5,0,12.0,12.66666667,12
331,5,5,0,0.0,0.0,0
332,5,5,0,12.0,13.0,13
333,5,5,0,12.66666667,11.66666667,12
334,5,5,0,12.16666667,13.66666667,13
335,5,5,0,13.33333333,14.66666667,14
336,3,2,0,15.0,14.57142857,15
337,5,5,0,13.39125,13.39125,13
338,5,5,0,12.16666667,12.42857143,12
339,4,5,0,11.25,12.5,12
340,4,2,0,12.0,12.0,12
341,3,3,0,0.0,0.0,0
342,5,5,0,12.83333333,12.85714286,13
343,2,3,0,14.0,13.1,14
344,5,2,0,13.0,12.0,13
345,5,5,0,13.5,12.5,13
346,5,5,0,10.69230769,12.30769231,12
347,5,5,0,11.0,11.66666667,11
348,5,5,0,13.0,13.83333333,13
349,4,5,0,12.0,11.25,12
350,5,5,0,12.6,11.5,12
351,5,5,0,13.66666667,13.33333333,14
352,5,5,0,0.0,0.0,0
353,5,5,0,14.2,14.2,14
354,5,5,0,11.0,0.0,6
355,5,5,0,15.0,16.42857143,16
356,5,5,0,12.58571429,13.44285714,13
357,5,5,0,0.0,0.0,0
358,4,5,0,0.0,0.0,0
359,3,4,0,0.0,0.0,0
360,5,2,0,11.66666667,11.83333333,12
361,5,5,0,12.66666667,10.0,11
362,5,5,0,10.33333333,11.0,11
363,5,5,0,13.5,13.71428571,14
364,5,2,0,13.98,13.98,14
365,5,5,0,16.15384615,15.75,16
366,5,5,0,14.03333333,14.03333333,14
367,3,5,0,11.0,11.2,11
368,5,5,0,13.85714286,13.66666667,14
369,5,5,0,13.41428571,13.41428571,13
370,5,5,0,13.54545455,13.57142857,14
371,5,5,0,11.25,10.83333333,11
372,5,5,0,13.83333333,14.42857143,14
373,5,5,0,12.0,12.85714286,12
374,5,5,0,0.0,0.0,0
375,5,5,0,11.9,12.8,12
376,5,5,0,0.0,0.0,0
377,5,5,0,15.13571429,15.2875,15
378,4,4,0,12.28571429,13.33333333,13
379,5,5,0,12.66666667,13.5,13
380,5,5,0,12.74,10.97857143,12
381,5,5,0,13.25,13.75,14
382,5,5,0,10.33333333,10.33333333,10
383,5,5,0,13.42857143,13.16666667,13
384,3,2,0,12.55555556,11.11111111,12
385,1,1,0,11.5,11.16666667,11
386,5,5,0,13.66666667,12.33333333,13
387,5,5,0,11.27272727,12.0,12
388,5,5,0,13.16666667,12.4,13
389,5,5,0,14.66666667,14.16666667,14
390,5,5,0,12.75,11.0,12
391,5,4,0,11.2,12.14,12
392,5,5,0,13.0,11.4,12
393,5,5,0,10.5,12.33333333,11
394,5,4,0,14.85714286,14.0,14
395,5,5,0,12.86,12.86,13
396,4,5,0,11.72727273,12.0,12
397,5,5,0,13.14285714,12.0,13
398,5,5,0,11.8,13.71428571,13
399,5,5,0,10.66666667,0.0,5
400,4,4,0,11.6,11.2,11
401,5,5,0,10.33333333,10.33333333,10
402,5,5,0,12.25,11.0,12
403,5,5,0,12.0,12.75,12
404,5,5,0,14.73142857,14.73142857,15
405,4,5,0,0.0,0.0,0
406,4,5,0,13.61538462,14.25,14
407,5,5,0,15.8,14.8,15
408,5,5,0,14.66666667,14.57142857,15
409,1,1,0,0.0,0.0,0
410,5,5,0,14.65428571,14.65428571,15
411,5,5,0,12.40142857,12.40142857,12
412,5,5,0,11.5875,14.07142857,13
413,5,5,0,14.0,15.6,15
414,5,5,0,12.33333333,11.83333333,12
415,5,5,0,14.0,15.4,15
416,5,5,0,15.23076923,12.375,14
417,5,5,0,11.6,11.0,11
418,5,5,0,11.6,11.6,12
419,5,5,0,0.0,0.0,0
420,3,5,0,12.90142857,13.09444444,13
421,5,4,0,14.14285714,14.8,14
422,5,5,0,0.0,0.0,0
423,4,4,0,13.25375,13.25375,13
424,5,4,0,13.78571429,14.1,14
425,5,4,0,13.91666667,13.91666667,14
426,4,5,0,13.5,13.57142857,14
427,5,3,0,11.33333333,10.66666667,11
428,5,5,0,0.0,0.0,0
429,5,5,0,11.5,14.6,13
430,5,5,0,12.08285714,12.08285714,12
431,5,5,0,11.83333333,12.8,12
432,5,5,0,13.4,12.4,13
433,5,4,0,0.0,0.0,0
434,5,5,0,14.2,14.57142857,14
435,5,5,0,13.81428571,13.81428571,14
436,5,5,0,11.25,10.5,11
437,5,5,0,14.5,13.66666667,14
438,3,5,0,0.0,0.0,0
439,5,5,0,11.3,11.3,11
440,4,3,0,0.0,16.0,8
441,5,5,0,12.0,12.0,12
442,5,4,0,12.3,12.3,12
443,5,5,0,12.69428571,12.69428571,13
444,2,2,0,11.0,11.0,11
445,5,4,0,13.0,14.16666667,14
446,3,2,0,14.4125,16.05,15
447,5,5,0,12.92875,14.0625,13
448,5,5,0,13.33333333,12.8,13
449,4,5,0,12.8,12.8,13
450,5,5,0,14.40285714,14.40285714,14
451,5,5,0,13.38142857,13.38142857,13
452,5,5,0,14.13125,13.98375,14
453,5,5,0,11.71428571,12.6,12
454,5,5,0,11.8,11.25,12
455,5,5,0,11.16666667,11.0,11
456,5,5,0,0.0,0.0,0
457,5,5,0,13.6,12.0,13
458,5,5,0,13.84615385,14.09090909,14
459,5,5,0,12.5,13.33333333,13
460,4,3,0,16.4,14.6,16
461,5,5,0,13.81818182,13.45454545,14
462,3,4,0,10.6,10.5,11
463,4,5,0,10.2,12.2,11
464,5,5,0,10.6,10.4,11
465,3,4,0,11.44444444,10.8,11
466,5,5,0,14.33333333,12.625,13
467,1,1,0,13.0,13.26666667,13
468,5,5,0,13.31,13.31,13
469,5,5,0,10.57142857,12.2,11
470,5,5,0,13.48714286,13.48714286,13
471,5,5,0,12.33333333,11.83333333,12
472,5,5,0,11.875,12.83333333,12
473,5,5,0,13.96666667,13.96666667,14
474,1,1,0,0.0,0.0,0
475,4,5,0,11.5,12.8,12
476,5,5,0,12.5,0.0,6
477,1,1,0,0.0,0.0,0
478,4,4,0,11.98,13.225,13
479,5,5,0,13.2,11.8,13
480,5,5,0,11.61428571,14.0375,13
481,2,2,0,14.31428571,14.31428571,14
482,3,5,0,0.0,0.0,0
483,5,5,0,12.66666667,13.0,13
484,5,5,0,12.76666667,12.12857143,12
485,5,5,0,12.66666667,12.2,12
486,5,4,0,11.5,10.57142857,11
487,5,5,0,11.4,11.75,12
488,5,5,0,14.70625,14.4775,15
489,5,5,0,11.81428571,13.54285714,13
490,4,5,0,13.0,11.875,12
491,5,5,0,14.85714286,13.33333333,14
492,4,3,0,12.6,12.6,13
493,5,5,0,13.33333333,11.4,12
494,3,5,0,10.66666667,12.83333333,12
495,5,5,0,11.5,11.0,11
496,5,5,0,10.0,0.0,5
497,5,4,0,11.8,12.2,12
498,5,5,0,11.8,12.66666667,12
499,5,5,0,12.77125,12.77125,13
500,5,5,0,11.33333333,12.6,12
501,5,5,0,12.66666667,14.6,14
502,5,5,0,12.2,10.83333333,12
503,2,2,0,12.0,0.0,6
504,5,5,0,11.72142857,11.72142857,12
505,5,5,0,14.0,12.525,13
506,3,5,0,14.75,13.8,14
507,5,4,0,12.66666667,13.66666667,13
508,3,3,0,13.0,14.0,14
509,5,5,0,0.0,0.0,0
510,3,4,0,10.75,0.0,5
511,5,5,0,0.0,0.0,0
512,1,1,0,12.5,11.75,12
513,5,3,0,0.0,0.0,0
514,5,5,0,0.0,0.0,0
515,5,5,0,0.0,0.0,0
516,5,5,0,12.5,12.4,12
517,5,5,0,12.8,11.66666667,12
518,1,1,0,10.0,11.0,11
519,5,5,0,11.25,10.2,11
520,5,5,0,12.61,12.61,13
521,3,5,0,12.0,12.6,12
522,3,5,0,13.0,13.5,13
523,5,5,0,12.0,13.0,13
524,2,2,0,12.0,0.0,6
525,5,4,1,12.0,11.0,12
526,5,4,1,12.0,10.5,11
527,3,5,1,0.0,0.0,0
528,5,5,1,0.0,0.0,0
529,3,3,1,13.625,11.75,13
530,5,5,1,11.66666667,11.66666667,12
531,5,5,1,0.0,0.0,0
532,3,4,1,11.69,11.69,12
533,5,5,1,0.0,0.0,0
534,3,3,1,0.0,0.0,0
535,5,5,1,11.5,11.28571429,11
536,5,5,1,14.0,0.0,7
537,5,5,1,11.0,12.4,12
538,4,5,1,12.85714286,13.16666667,13
539,5,5,1,12.5,11.33333333,12
540,5,5,1,14.52857143,15.01818182,15
541,5,5,1,10.0,12.0,11
542,5,5,1,13.0,12.625,13
543,5,4,1,15.95714286,15.18888889,16
544,5,5,1,13.2,12.6,13
545,5,5,1,10.2,11.0,11
546,5,5,1,14.2,13.5,14
547,5,5,1,12.625,14.5,14
548,5,5,1,13.49666667,13.49666667,13
549,5,5,1,13.25,11.0,12
550,5,5,1,12.0,12.0,12
551,5,5,1,13.0,13.75,13
552,2,5,1,11.77777778,13.66666667,13
553,4,3,1,11.0,0.0,6
554,5,5,1,0.0,0.0,0
555,3,3,1,12.42857143,10.85714286,12
556,5,5,1,11.0,12.0,12
557,5,5,1,0.0,0.0,0
558,5,5,1,11.5,10.66666667,11
559,5,5,1,12.5075,12.5075,13
560,5,5,1,12.09090909,12.0,12
561,4,4,1,11.0,12.66666667,12
562,5,5,1,10.0,11.33333333,11
563,5,5,1,13.5,13.2,13
564,5,5,1,14.16666667,13.625,14
565,4,5,1,14.0,14.71428571,14
566,3,5,1,0.0,0.0,0
567,1,5,1,11.66666667,11.33333333,12
568,5,5,1,14.6,14.2,14
569,3,3,1,13.0,11.5,12
570,5,5,1,12.16666667,12.0,12
571,5,5,1,0.0,12.0,6
572,5,5,1,10.5,10.8,11
573,5,5,1,12.4,10.83333333,12
574,5,5,1,0.0,0.0,0
575,5,5,1,0.0,0.0,0
576,5,5,1,13.82857143,13.82857143,14
577,5,5,0,10.6,10.2,10
578,5,5,0,11.5,11.66666667,12
579,5,5,0,13.5,13.625,14
580,1,2,0,0.0,0.0,0
581,5,5,0,12.5375,12.61428571,13
582,5,5,0,14.83333333,13.28571429,14
583,5,5,0,12.0,12.8,12
584,5,5,0,11.8,11.6,12
585,4,4,0,15.0,15.2,15
586,5,5,0,12.0,13.2,13
587,5,5,0,12.83333333,12.28571429,13
588,5,4,0,11.66666667,12.0,12
589,5,5,0,12.1625,13.825,13
590,5,4,0,13.83333333,14.55555556,14
591,3,5,0,12.45,11.7,12
592,5,5,0,12.125,13.57142857,13
593,5,5,0,13.4,13.0,13
594,5,5,0,13.33333333,14.0,14
595,5,5,0,11.45454545,11.54545455,12
596,5,1,0,12.0,10.0,11
597,5,5,0,12.66666667,12.6,13
598,5,5,0,12.66666667,13.77777778,13
599,5,5,0,11.88888889,11.46153846,12
600,5,5,0,0.0,0.0,0
601,5,5,0,13.0,11.6,12
602,5,5,0,16.88571429,15.74444444,16
603,5,5,0,12.5,12.33333333,12
604,4,5,0,13.05555556,15.8125,14
605,5,5,0,0.0,0.0,0
606,4,3,0,0.0,0.0,0
607,5,5,0,12.35571429,12.35571429,12
608,5,5,0,0.0,0.0,0
609,5,5,0,11.98,11.98,12
610,5,5,0,13.85714286,12.57142857,13
611,5,5,0,13.0,14.16666667,14
612,2,2,0,12.83333333,11.16666667,12
613,5,5,0,11.0,13.2,12
614,5,5,0,12.35714286,12.35714286,12
615,5,5,0,13.85714286,13.85714286,14
616,5,5,0,12.33333333,10.66666667,12
617,5,5,0,12.84714286,13.78888889,13
618,5,5,0,12.34,13.01875,13
619,3,4,0,12.66666667,11.75,12
620,5,5,0,13.83333333,12.5,13
621,5,4,0,10.75,10.0,10
622,5,5,0,13.25,10.25,12
623,5,5,0,13.73125,13.73125,14
624,5,5,0,13.33333333,12.66666667,13
625,5,5,0,12.0,10.8,11
626,5,5,0,10.88888889,11.33333333,11
627,5,5,0,13.025,13.81111111,13
628,5,5,0,13.0,14.16666667,14
629,5,5,0,11.8,12.0,12
630,5,5,0,12.04285714,12.04285714,12
631,5,5,0,12.2,13.0,13
632,5,5,0,12.8375,15.5,14
633,5,5,0,11.0,11.7,11
634,5,5,0,13.5,14.0,14
635,5,5,0,12.125,12.71428571,12
636,5,5,0,12.62857143,12.62857143,13
637,5,5,0,10.66666667,11.4,11
638,5,5,0,11.2,11.6,11
639,4,4,0,12.66666667,11.83333333,12
640,5,1,0,13.5,0.0,7
641,5,5,0,11.66666667,11.0,11
642,5,5,0,10.5,12.33333333,11
643,5,5,0,14.26875,14.26875,14
644,5,5,0,0.0,0.0,0
645,5,5,0,10.5,13.33333333,12
646,4,5,0,11.2,10.0,11
647,5,5,0,12.0,14.83333333,13
648,5,4,0,12.22857143,13.2125,13
649,5,2,0,11.5,10.75,11
650,5,1,0,15.375,16.42857143,16
651,5,5,0,13.66666667,13.5,14
652,5,4,0,12.61428571,12.61428571,13
653,5,5,0,12.2,11.5,12
654,4,5,0,11.75,11.0,11
655,5,5,0,11.4,10.0,11
656,5,5,0,10.6,10.0,10
657,5,5,0,10.92307692,11.45454545,11
658,5,5,0,12.4,12.4,12
659,5,5,0,0.0,0.0,0
660,5,3,0,15.83333333,15.5,16
661,5,5,0,11.8,11.70833333,12
662,5,2,0,12.57142857,13.66666667,13
663,1,1,0,12.0,13.25,13
664,5,5,1,13.3625,14.44444444,14
665,5,5,0,15.4,16.0,16
666,5,5,0,12.2,11.75,12
667,5,5,0,12.81818182,13.54545455,13
668,5,5,0,0.0,0.0,0
669,5,5,0,13.39473684,13.55473684,13
670,5,5,0,14.25,11.0,13
671,5,5,0,13.44444444,14.71428571,14
672,5,5,0,12.28571429,11.7375,12
673,4,4,0,11.66666667,13.2,12
674,5,5,0,12.16666667,13.5,13
675,5,5,0,10.0,11.0,11
676,5,5,0,14.0,15.0,15
677,5,5,0,11.83333333,12.0,12
678,1,1,1,15.0,0.0,8
679,3,5,0,0.0,0.0,0
680,5,5,0,10.83333333,10.66666667,11
681,5,5,0,13.14285714,14.0,14
682,5,5,0,14.4,14.0,14
683,5,5,0,0.0,0.0,0
684,5,5,1,12.0,11.22222222,12
685,5,5,1,12.2,12.8,13
686,2,5,1,12.33333333,11.0,12
687,5,5,1,11.8375,12.48125,12
688,5,3,1,11.8,14.0,13
689,5,5,1,0.0,0.0,0
690,5,5,1,0.0,0.0,0
691,5,5,1,12.68421053,12.38461538,13
692,5,4,1,12.57142857,13.0,13
693,5,5,1,11.25,0.0,6
694,3,5,1,14.0,15.5,15
695,5,5,1,13.33333333,13.5,13
696,1,1,1,13.66666667,13.66666667,14
697,3,2,1,10.0,10.8,10
698,5,2,1,12.6,11.71428571,12
699,5,5,1,17.33333333,17.0,17
700,5,5,1,13.2,12.0,13
701,5,4,1,14.0,13.66666667,14
702,3,3,1,13.875,12.5,13
703,5,5,1,0.0,0.0,0
704,5,5,1,13.11111111,14.85714286,14
705,5,5,1,13.0,13.33333333,13
706,5,5,1,12.5,12.14285714,12
707,5,5,1,14.11111111,14.23076923,14
708,5,5,1,14.72727273,15.77777778,15
709,5,5,1,0.0,0.0,0
710,5,5,1,0.0,0.0,0
