STUDENTID,GENDER,MJOB,FJOB,GRADE
STUDENT169,F,health,services,16
STUDENT170,F,other,other,0
STUDENT171,F,health,health,14
STUDENT172,M,other,other,0
STUDENT173,M,other,other,16
STUDENT174,M,teacher,other,10
STUDENT175,F,at_home,services,0
STUDENT176,F,other,other,9
STUDENT177,M,teacher,other,9
STUDENT178,F,services,other,11
STUDENT179,M,other,other,6
STUDENT180,M,teacher,services,9
STUDENT181,M,other,other,11
STUDENT182,M,teacher,other,8
STUDENT183,M,services,other,12
STUDENT184,F,services,services,17
STUDENT185,F,other,other,8
STUDENT186,F,other,other,12
STUDENT187,M,services,services,11
STUDENT188,M,services,services,11
STUDENT189,M,other,other,15
STUDENT190,F,health,other,9
STUDENT191,M,at_home,other,10
STUDENT192,F,services,services,13
STUDENT193,F,at_home,services,9
STUDENT194,M,at_home,services,8
STUDENT195,M,services,services,10
STUDENT196,M,other,other,14
STUDENT197,F,services,services,15
STUDENT198,M,services,teacher,16
STUDENT199,M,teacher,other,10
STUDENT200,F,services,teacher,18
STUDENT201,F,teacher,teacher,10
STUDENT202,F,health,other,16
STUDENT203,F,other,other,10
STUDENT204,F,other,other,10
STUDENT205,F,other,other,6
STUDENT206,F,services,services,11
STUDENT207,F,at_home,services,9
STUDENT208,F,services,other,7
STUDENT209,F,teacher,other,13
STUDENT210,F,at_home,other,10
STUDENT211,F,teacher,other,7
STUDENT212,F,other,other,8
STUDENT213,M,services,other,13
STUDENT214,F,other,other,14
STUDENT215,M,services,other,8
STUDENT216,F,services,other,10
STUDENT217,F,other,other,15
STUDENT218,F,other,other,4
STUDENT219,M,services,health,8
STUDENT220,F,at_home,other,8
STUDENT221,F,at_home,at_home,10
STUDENT222,F,at_home,services,6
STUDENT223,F,at_home,other,0
STUDENT224,F,services,teacher,17
STUDENT225,M,other,other,13
STUDENT226,F,teacher,services,14
STUDENT227,F,other,other,7
STUDENT228,F,other,other,15
STUDENT229,M,services,services,12
STUDENT230,M,at_home,other,9
STUDENT231,F,other,other,12
STUDENT232,F,health,other,14
STUDENT233,M,other,other,11
STUDENT234,M,teacher,teacher,9
STUDENT235,M,health,other,13
STUDENT236,M,other,other,6
STUDENT237,M,at_home,other,10
STUDENT238,M,other,other,13
STUDENT239,F,other,other,12
STUDENT240,F,at_home,services,11
STUDENT241,M,other,services,0
STUDENT242,M,health,other,12
STUDENT243,M,teacher,other,12
STUDENT244,M,teacher,other,0
STUDENT245,M,services,services,12
STUDENT246,F,other,other,0
STUDENT247,M,other,other,18
STUDENT248,M,other,other,13
STUDENT249,M,services,services,8
STUDENT250,M,other,services,5
STUDENT251,M,other,other,15
STUDENT252,M,services,other,8
STUDENT253,M,at_home,other,10
STUDENT254,M,services,services,8
STUDENT255,M,other,other,8
STUDENT256,M,other,other,12
STUDENT257,M,health,other,8
STUDENT258,F,teacher,services,13
STUDENT259,M,services,at_home,11
STUDENT260,M,other,other,14
STUDENT261,F,services,services,0
STUDENT262,F,services,other,18
STUDENT263,M,teacher,other,8
STUDENT264,M,other,other,12
STUDENT265,F,other,other,9
STUDENT266,F,at_home,services,0
STUDENT267,M,other,other,17
STUDENT268,M,services,other,10
STUDENT269,F,teacher,other,11
STUDENT270,M,health,other,10
STUDENT271,F,other,other,0
STUDENT272,F,other,services,9
STUDENT273,F,other,services,14
STUDENT274,F,other,other,11
STUDENT275,M,at_home,at_home,14
STUDENT276,F,at_home,health,10
STUDENT277,F,services,other,12
STUDENT278,F,other,services,9
STUDENT279,M,teacher,services,9
STUDENT280,F,health,health,8
STUDENT281,M,teacher,services,10
STUDENT282,M,services,other,8
STUDENT283,M,teacher,services,10
STUDENT284,F,at_home,other,12
STUDENT285,F,other,other,10
STUDENT286,F,other,other,11
STUDENT287,M,other,other,11
STUDENT288,F,at_home,at_home,19
STUDENT289,F,services,teacher,12
STUDENT290,M,services,services,14
STUDENT291,M,teacher,teacher,15
STUDENT292,M,teacher,other,11
STUDENT293,F,health,services,15
STUDENT294,F,services,at_home,13
STUDENT295,F,services,other,18
STUDENT296,M,services,other,14
STUDENT297,M,health,other,11
STUDENT298,F,health,other,0
STUDENT299,F,other,other,8
STUDENT300,F,other,other,14
STUDENT301,M,teacher,teacher,16
STUDENT302,F,health,other,11
STUDENT303,M,other,teacher,10
STUDENT304,F,other,other,14
STUDENT305,F,health,health,18
STUDENT306,M,other,other,13
STUDENT307,F,services,at_home,12
STUDENT308,M,services,other,18
STUDENT309,M,teacher,services,8
STUDENT310,M,other,services,12
STUDENT311,F,at_home,other,10
STUDENT312,F,services,services,0
STUDENT313,F,at_home,other,13
STUDENT314,M,other,services,11
STUDENT315,F,services,other,11
STUDENT316,F,at_home,health,13
STUDENT317,F,other,other,11
STUDENT318,F,services,other,0
STUDENT319,F,other,other,9
STUDENT320,F,at_home,services,10
STUDENT321,F,teacher,other,11
STUDENT322,F,services,services,13
STUDENT323,F,other,other,9
STUDENT324,F,services,services,11
STUDENT325,F,services,services,15
STUDENT326,F,at_home,at_home,15
STUDENT327,M,other,other,11
STUDENT328,M,other,services,16
STUDENT329,M,services,other,10
STUDENT330,F,teacher,services,9
STUDENT331,F,teacher,teacher,14
STUDENT332,M,other,other,8
STUDENT333,F,at_home,other,14
STUDENT334,F,services,services,0
STUDENT335,F,other,other,0
STUDENT336,F,at_home,other,0
STUDENT337,F,services,other,15
STUDENT338,F,services,at_home,13
STUDENT339,F,other,other,0
STUDENT340,F,services,services,17
STUDENT341,F,other,other,10
STUDENT342,F,services,services,11
STUDENT343,M,teacher,services,0
STUDENT344,M,services,other,15
STUDENT345,F,at_home,at_home,0
STUDENT346,F,at_home,other,10
STUDENT347,F,other,services,14
STUDENT348,M,teacher,services,16
STUDENT349,M,teacher,other,9
STUDENT350,F,health,other,15
STUDENT351,M,other,other,13
STUDENT352,M,other,services,8
STUDENT353,M,health,other,13
STUDENT354,M,at_home,services,8
STUDENT355,M,other,other,8
STUDENT356,M,services,other,11
STUDENT357,F,services,services,9
STUDENT358,F,teacher,services,13
STUDENT359,F,services,other,11
STUDENT360,M,other,services,10
STUDENT361,F,at_home,services,16
STUDENT362,F,at_home,other,13
STUDENT363,M,at_home,other,12
STUDENT364,F,services,services,10
STUDENT365,F,at_home,at_home,15
STUDENT366,F,other,services,12
STUDENT367,M,at_home,other,10
STUDENT368,M,teacher,services,13
STUDENT369,F,other,services,0
STUDENT370,F,at_home,services,10
STUDENT371,F,other,teacher,11
STUDENT372,F,services,services,9
STUDENT373,M,at_home,services,12
STUDENT374,F,other,at_home,11
STUDENT375,F,other,other,5
STUDENT376,F,other,other,19
STUDENT377,F,other,other,10
STUDENT378,F,health,other,15
STUDENT379,F,teacher,services,10
STUDENT380,F,other,other,15
STUDENT381,F,at_home,other,10
STUDENT382,M,teacher,teacher,14
STUDENT383,M,other,other,7
STUDENT384,M,other,services,10
STUDENT385,M,other,services,0
STUDENT386,M,other,other,5
STUDENT387,F,at_home,other,10
STUDENT388,F,teacher,at_home,6
STUDENT389,F,services,other,0
STUDENT390,F,teacher,services,8
STUDENT391,F,other,other,0
STUDENT392,M,services,services,9
STUDENT393,M,services,services,16
STUDENT394,M,other,other,7
STUDENT395,M,services,other,10
STUDENT396,M,other,at_home,9
