MOTHER_JOB,FATHER_JOB,GENDER,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),GRADE
5,11,0,15.66666667,14.5,15
7,7,0,14.33333333,13.83333333,14
10,5,0,11.42857143,13,12
29,29,0,11.66666667,11.66666667,12
4,7,0,12,11.33333333,12
3,5,0,14.72571429,14.72571429,15
10,9,0,14.16666667,13.66666667,14
4,4,0,11.57142857,12.33333333,12
5,11,0,12.5,13.1375,13
6,8,0,12.86,12.86,13
10,8,0,12.25,13.71428571,13
10,10,0,12,12.2,12
5,10,0,15.11666667,16.16888889,16
6,6,0,12.5,10.25,11
5,4,0,0,0,0
5,11,0,11,11,11
6,6,0,11.875,14.6,13
12,12,0,11,0,6
12,12,0,15.2,13.2,14
8,9,0,11.6,11,11
3,2,0,14.83333333,15.14285714,15
1,1,0,11.33333333,11.33333333,11
5,9,0,11.2,11.8,12
6,8,0,13.4,13.66666667,14
5,5,0,10.5,0,5
5,4,0,16.2,16.4,16
4,7,0,14.54285714,14.88181818,15
4,6,0,13.69428571,14.35555556,14
6,10,0,11.28571429,11.85714286,12
8,8,0,11.75714286,13.08333333,12
10,6,0,0,0,0
8,10,0,13.05857143,13.05857143,13
6,2,0,14.3,14.05555556,14
10,10,0,11.8,12,12
8,6,0,10.33333333,13,12
6,9,0,10.57142857,11.66666667,11
10,10,0,13.33333333,13.33333333,13
10,7,0,11.85714286,11,11
5,5,0,12.6,11.4,12
10,6,0,14,11.6,13
10,7,0,12,12.66666667,12
5,8,0,0,0,0
8,8,0,12,13,13
10,11,0,12.66666667,11.66666667,12
5,10,0,12.16666667,13.66666667,13
8,8,0,13.33333333,14.66666667,14
3,2,0,15,14.57142857,15
8,8,0,13.39125,13.39125,13
10,11,0,12.16666667,12.42857143,12
4,6,0,11.25,12.5,12
4,2,0,12,12,12
3,3,0,0,0,0
10,10,0,12.83333333,12.85714286,13
2,3,0,14,13.1,14
10,2,0,13,12,13
8,6,0,13.5,12.5,13
10,10,0,10.69230769,12.30769231,12
7,7,0,11,11.66666667,11
10,10,0,13,13.83333333,13
4,10,0,12,11.25,12
10,10,0,12.6,11.5,12
10,9,0,13.66666667,13.33333333,14
10,6,0,0,0,0
10,8,0,14.2,14.2,14
5,7,0,11,0,6
5,6,0,15,16.42857143,16
10,10,0,12.58571429,13.44285714,13
12,9,0,0,0,0
4,9,0,0,0,0
3,4,0,0,0,0
5,2,0,11.66666667,11.83333333,12
10,8,0,12.66666667,10,11
10,11,0,10.33333333,11,11
10,9,0,13.5,13.71428571,14
10,2,0,13.98,13.98,14
8,6,0,16.15384615,15.75,16
5,9,0,14.03333333,14.03333333,14
3,8,0,11,11.2,11
29,46,0,13.85714286,13.66666667,14
10,6,0,13.41428571,13.41428571,13
10,5,0,13.54545455,13.57142857,14
10,8,0,11.25,10.83333333,11
5,8,0,13.83333333,14.42857143,14
20,43,0,12,12.85714286,12
5,8,0,0,0,0
10,10,0,11.9,12.8,12
10,10,0,0,0,0
5,5,0,15.13571429,15.2875,15
4,4,0,12.28571429,13.33333333,13
6,7,0,12.66666667,13.5,13
6,8,0,12.74,10.97857143,12
9,9,0,13.25,13.75,14
6,8,0,10.33333333,10.33333333,10
6,6,0,13.42857143,13.16666667,13
3,2,0,12.55555556,11.11111111,12
1,1,0,11.5,11.16666667,11
10,10,0,13.66666667,12.33333333,13
10,10,0,11.27272727,12,12
5,6,0,13.16666667,12.4,13
8,8,0,14.66666667,14.16666667,14
5,6,0,12.75,11,12
6,4,0,11.2,12.14,12
8,8,0,13,11.4,12
10,11,0,10.5,12.33333333,11
5,4,0,14.85714286,14,14
5,10,0,12.86,12.86,13
4,11,0,11.72727273,12,12
5,7,0,13.14285714,12,13
6,9,0,11.8,13.71428571,13
7,5,0,10.66666667,0,5
4,4,0,11.6,11.2,11
8,8,0,10.33333333,10.33333333,10
10,10,0,12.25,11,12
10,10,0,12,12.75,12
6,6,0,14.73142857,14.73142857,15
4,10,0,0,0,0
4,10,0,13.61538462,14.25,14
10,10,0,15.8,14.8,15
5,5,0,14.66666667,14.57142857,15
1,1,0,0,0,0
8,8,0,14.65428571,14.65428571,15
5,9,0,12.40142857,12.40142857,12
5,11,0,11.5875,14.07142857,13
7,7,0,14,15.6,15
10,8,0,12.33333333,11.83333333,12
12,12,0,14,15.4,15
10,10,0,15.23076923,12.375,14
10,10,0,11.6,11,11
10,10,0,11.6,11.6,12
5,6,0,0,0,0
3,9,0,12.90142857,13.09444444,13
5,4,0,14.14285714,14.8,14
5,7,0,0,0,0
4,4,0,13.25375,13.25375,13
6,4,0,13.78571429,14.1,14
10,4,0,13.91666667,13.91666667,14
4,8,0,13.5,13.57142857,14
10,3,0,11.33333333,10.66666667,11
5,5,0,0,0,0
5,11,0,11.5,14.6,13
10,10,0,12.08285714,12.08285714,12
8,9,0,11.83333333,12.8,12
7,9,0,13.4,12.4,13
12,4,0,0,0,0
5,9,0,14.2,14.57142857,14
6,6,0,13.81428571,13.81428571,14
6,6,0,11.25,10.5,11
5,6,0,14.5,13.66666667,14
3,5,0,0,0,0
10,10,0,11.3,11.3,11
4,3,0,0,16,8
5,6,0,12,12,12
10,4,0,12.3,12.3,12
8,9,0,12.69428571,12.69428571,13
2,2,0,11,11,11
10,4,0,13,14.16666667,14
3,2,0,14.4125,16.05,15
8,8,0,12.92875,14.0625,13
10,8,0,13.33333333,12.8,13
4,11,0,12.8,12.8,13
6,6,0,14.40285714,14.40285714,14
10,9,0,13.38142857,13.38142857,13
8,6,0,14.13125,13.98375,14
5,8,0,11.71428571,12.6,12
10,8,0,11.8,11.25,12
13,13,0,11.16666667,11,11
6,7,0,0,0,0
10,9,0,13.6,12,13
5,10,0,13.84615385,14.09090909,14
6,8,0,12.5,13.33333333,13
4,3,0,16.4,14.6,16
6,8,0,13.81818182,13.45454545,14
3,4,0,10.6,10.5,11
4,6,0,10.2,12.2,11
5,10,0,10.6,10.4,11
3,4,0,11.44444444,10.8,11
6,11,0,14.33333333,12.625,13
1,1,0,13,13.26666667,13
5,9,0,13.31,13.31,13
5,10,0,10.57142857,12.2,11
10,10,0,13.48714286,13.48714286,13
10,8,0,12.33333333,11.83333333,12
8,11,0,11.875,12.83333333,12
10,10,0,13.96666667,13.96666667,14
1,1,0,0,0,0
4,6,0,11.5,12.8,12
10,10,0,12.5,0,6
1,1,0,0,0,0
4,4,0,11.98,13.225,13
29,39,0,13.2,11.8,13
5,5,0,11.61428571,14.0375,13
2,2,0,14.31428571,14.31428571,14
3,6,0,0,0,0
10,8,0,12.66666667,13,13
10,6,0,12.76666667,12.12857143,12
8,10,0,12.66666667,12.2,12
5,4,0,11.5,10.57142857,11
6,5,0,11.4,11.75,12
10,8,0,14.70625,14.4775,15
6,6,0,11.81428571,13.54285714,13
4,9,0,13,11.875,12
6,6,0,14.85714286,13.33333333,14
4,3,0,12.6,12.6,13
10,5,0,13.33333333,11.4,12
3,6,0,10.66666667,12.83333333,12
12,6,0,11.5,11,11
10,10,0,10,0,5
5,4,0,11.8,12.2,12
10,8,0,11.8,12.66666667,12
8,8,0,12.77125,12.77125,13
10,10,0,11.33333333,12.6,12
10,10,0,12.66666667,14.6,14
5,5,0,12.2,10.83333333,12
2,2,0,12,0,6
8,8,0,11.72142857,11.72142857,12
23,34,0,14,12.525,13
3,5,0,14.75,13.8,14
10,4,0,12.66666667,13.66666667,13
3,3,0,13,14,14
5,7,0,0,0,0
3,4,0,10.75,0,5
13,13,0,0,0,0
1,1,0,12.5,11.75,12
10,3,0,0,0,0
10,11,0,0,0,0
10,11,0,0,0,0
10,5,0,12.5,12.4,12
10,5,0,12.8,11.66666667,12
1,1,0,10,11,11
10,10,0,11.25,10.2,11
6,6,0,12.61,12.61,13
3,10,0,12,12.6,12
3,9,0,13,13.5,13
10,10,0,12,13,13
2,2,0,12,0,6
10,4,1,12,11,12
6,4,1,12,10.5,11
3,11,1,0,0,0
10,10,1,0,0,0
3,3,1,13.625,11.75,13
5,8,1,11.66666667,11.66666667,12
10,9,1,0,0,0
3,4,1,11.69,11.69,12
5,8,1,0,0,0
3,3,1,0,0,0
5,5,1,11.5,11.28571429,11
5,5,1,14,0,7
5,5,1,11,12.4,12
4,10,1,12.85714286,13.16666667,13
10,10,1,12.5,11.33333333,12
6,6,1,14.52857143,15.01818182,15
6,8,1,10,12,11
5,11,1,13,12.625,13
6,4,1,15.95714286,15.18888889,16
10,11,1,13.2,12.6,13
6,11,1,10.2,11,11
6,11,1,14.2,13.5,14
6,7,1,12.625,14.5,14
10,10,1,13.49666667,13.49666667,13
10,8,1,13.25,11,12
5,6,1,12,12,12
8,10,1,13,13.75,13
2,11,1,11.77777778,13.66666667,13
4,3,1,11,0,6
5,5,1,0,0,0
3,3,1,12.42857143,10.85714286,12
8,5,1,11,12,12
10,10,1,0,0,0
32,44,1,11.5,10.66666667,11
10,11,1,12.5075,12.5075,13
20,30,1,12.09090909,12,12
4,4,1,11,12.66666667,12
5,11,1,10,11.33333333,11
10,10,1,13.5,13.2,13
10,10,1,14.16666667,13.625,14
4,10,1,14,14.71428571,14
3,5,1,0,0,0
1,6,1,11.66666667,11.33333333,12
9,9,1,14.6,14.2,14
3,3,1,13,11.5,12
10,10,1,12.16666667,12,12
10,10,1,0,12,6
6,11,1,10.5,10.8,11
5,6,1,12.4,10.83333333,12
10,11,1,0,0,0
5,5,1,0,0,0
10,10,1,13.82857143,13.82857143,14
10,9,0,10.6,10.2,10
6,6,0,11.5,11.66666667,12
10,9,0,13.5,13.625,14
1,2,0,0,0,0
6,6,0,12.5375,12.61428571,13
9,8,0,14.83333333,13.28571429,14
10,9,0,12,12.8,12
8,8,0,11.8,11.6,12
4,4,0,15,15.2,15
12,12,0,12,13.2,13
10,9,0,12.83333333,12.28571429,13
10,4,0,11.66666667,12,12
6,5,0,12.1625,13.825,13
10,4,0,13.83333333,14.55555556,14
3,9,0,12.45,11.7,12
10,5,0,12.125,13.57142857,13
5,9,0,13.4,13,13
5,7,0,13.33333333,14,14
10,10,0,11.45454545,11.54545455,12
8,1,0,12,10,11
10,11,0,12.66666667,12.6,13
8,5,0,12.66666667,13.77777778,13
10,10,0,11.88888889,11.46153846,12
10,10,0,0,0,0
6,8,0,13,11.6,12
10,5,0,16.88571429,15.74444444,16
5,5,0,12.5,12.33333333,12
4,9,0,13.05555556,15.8125,14
7,7,0,0,0,0
4,3,0,0,0,0
8,8,0,12.35571429,12.35571429,12
32,44,0,0,0,0
7,6,0,11.98,11.98,12
29,41,0,13.85714286,12.57142857,13
5,8,0,13,14.16666667,14
2,2,0,12.83333333,11.16666667,12
6,8,0,11,13.2,12
10,10,0,12.35714286,12.35714286,12
10,10,0,13.85714286,13.85714286,14
8,9,0,12.33333333,10.66666667,12
10,9,0,12.84714286,13.78888889,13
5,8,0,12.34,13.01875,13
3,4,0,12.66666667,11.75,12
5,6,0,13.83333333,12.5,13
5,4,0,10.75,10,10
10,8,0,13.25,10.25,12
8,6,0,13.73125,13.73125,14
10,10,0,13.33333333,12.66666667,13
10,9,0,12,10.8,11
7,7,0,10.88888889,11.33333333,11
10,8,0,13.025,13.81111111,13
6,7,0,13,14.16666667,14
10,10,0,11.8,12,12
10,10,0,12.04285714,12.04285714,12
5,10,0,12.2,13,13
6,8,0,12.8375,15.5,14
29,44,0,11,11.7,11
10,8,0,13.5,14,14
8,6,0,12.125,12.71428571,12
10,10,0,12.62857143,12.62857143,13
10,5,0,10.66666667,11.4,11
5,6,0,11.2,11.6,11
4,4,0,12.66666667,11.83333333,12
10,1,0,13.5,0,7
10,10,0,11.66666667,11,11
5,10,0,10.5,12.33333333,11
8,8,0,14.26875,14.26875,14
8,8,0,0,0,0
10,10,0,10.5,13.33333333,12
4,6,0,11.2,10,11
10,8,0,12,14.83333333,13
5,4,0,12.22857143,13.2125,13
6,2,0,11.5,10.75,11
6,1,0,15.375,16.42857143,16
6,6,0,13.66666667,13.5,14
5,4,0,12.61428571,12.61428571,13
7,10,0,12.2,11.5,12
4,6,0,11.75,11,11
10,7,0,11.4,10,11
6,11,0,10.6,10,10
6,8,0,10.92307692,11.45454545,11
6,11,0,12.4,12.4,12
10,10,0,0,0,0
5,3,0,15.83333333,15.5,16
32,44,0,11.8,11.70833333,12
5,2,0,12.57142857,13.66666667,13
1,1,0,12,13.25,13
10,8,1,13.3625,14.44444444,14
7,7,0,15.4,16,16
6,6,0,12.2,11.75,12
6,8,0,12.81818182,13.54545455,13
5,9,0,0,0,0
6,8,0,13.39473684,13.55473684,13
10,10,0,14.25,11,13
12,8,0,13.44444444,14.71428571,14
10,8,0,12.28571429,11.7375,12
4,4,0,11.66666667,13.2,12
6,9,0,12.16666667,13.5,13
10,10,0,10,11,11
6,8,0,14,15,15
8,8,0,11.83333333,12,12
1,1,1,15,0,8
3,6,0,0,0,0
10,10,0,10.83333333,10.66666667,11
5,7,0,13.14285714,14,14
5,6,0,14.4,14,14
10,11,0,0,0,0
10,10,1,12,11.22222222,12
10,10,1,12.2,12.8,13
2,10,1,12.33333333,11,12
10,9,1,11.8375,12.48125,12
10,3,1,11.8,14,13
10,8,1,0,0,0
10,5,1,0,0,0
10,8,1,12.68421053,12.38461538,13
10,4,1,12.57142857,13,13
10,9,1,11.25,0,6
3,10,1,14,15.5,15
6,6,1,13.33333333,13.5,13
1,1,1,13.66666667,13.66666667,14
3,2,1,10,10.8,10
10,2,1,12.6,11.71428571,12
6,8,1,17.33333333,17,17
7,7,1,13.2,12,13
10,4,1,14,13.66666667,14
3,3,1,13.875,12.5,13
10,10,1,0,0,0
10,10,1,13.11111111,14.85714286,14
10,10,1,13,13.33333333,13
5,9,1,12.5,12.14285714,12
10,7,1,14.11111111,14.23076923,14
10,10,1,14.72727273,15.77777778,15
10,8,1,0,0,0
12,12,1,0,0,0
10,9,1,0,0,0
12,12,1,13.5,11.6,13
3,3,1,13.10571429,13.10571429,13
7,7,1,13.5,14.4,14
5,11,1,11.84615385,12,12
1,12,1,0,0,0
4,10,1,14.33333333,0,7
10,10,1,15.8,17.6,17
9,11,1,13.8,12.4,13
5,5,1,12.66666667,12,12
4,8,1,13,12,13
10,6,1,0,0,0
12,6,1,11,0,6
12,11,1,0,0,0
10,8,1,15.2,16.575,16
4,4,1,14.42857143,14.375,14
10,10,1,0,0,0
5,8,1,0,0,0
3,3,1,13.75,11.2,12
10,10,1,12.16666667,12,12
5,7,1,12.14285714,11.66666667,12
7,7,1,12,11.6,12
5,8,1,11.66666667,12.75,12
7,8,1,0,0,0
5,11,1,11.875,12,12
4,8,1,11.28571429,12.33333333,12
6,8,1,10,11.33333333,11
4,8,1,12,11.18181818,12
9,9,1,13.83333333,13,13
10,8,1,0,0,0
3,3,1,14.42857143,12.5,13
4,4,1,14.2,12.4,13
5,9,1,11.5,10.33333333,11
10,10,1,13,15,14
5,6,1,0,0,0
5,5,1,11.33333333,11,11
10,7,1,12.5,11.42857143,12
12,4,1,0,0,0
6,4,0,13.47142857,13.94444444,14
6,6,0,11.75,13.33333333,13
10,10,0,13.33333333,14.66666667,14
4,4,0,13.105,13.105,13
8,10,0,0,0,0
10,10,1,15.5,12.16666667,14
5,6,1,0,0,0
10,6,1,11.25,12.33333333,12
10,5,1,11,11.36363636,11
4,4,1,12.33333333,13,13
10,10,0,11.375,11.8,12
3,3,1,12.22222222,12.38461538,12
2,11,1,0,0,0
10,10,1,12,12,12
30,4,1,11,10,11
6,6,1,14.125,13,14
6,11,1,10.2,11.2,11
5,5,0,12,12.4,12
5,2,0,12.33333333,12.57142857,12
10,8,1,14.33333333,13.85714286,14
6,6,1,15.16666667,14,15
10,10,0,15.14285714,15.14285714,15
6,6,0,0,0,0
5,10,0,13.41142857,13.29444444,13
5,11,0,12.33333333,12.16666667,12
3,9,0,11.8,12.2,12
5,8,0,12,12,12
5,5,0,15,15.625,15
5,3,0,13.875,12.7,13
18,24,0,11.83333333,14.33333333,13
6,6,0,12.5,13.83333333,13
8,8,0,15,15.5,15
6,5,0,11.66666667,10.5,11
4,9,0,14.668,14.63375,15
2,4,0,13.345,13.345,13
10,10,0,12.8,12.33333333,13
2,2,0,10.83333333,12.14285714,11
2,3,0,13.66666667,14,14
5,6,0,14.53714286,14.53714286,15
1,12,0,14.4,14,14
6,5,0,0,0,0
10,10,0,13.16666667,13.83333333,14
3,3,1,11.5,0,6
10,3,0,11.33333333,12.42857143,12
3,6,0,12,13.6,13
4,4,0,13.16666667,12.16666667,13
6,9,0,14.83333333,14.16666667,15
10,9,0,13,13.22222222,13
5,9,0,13.08714286,12.95,13
10,10,0,13.33333333,13.66666667,14
4,8,0,12.16666667,12.75,12
4,6,0,11,12,12
10,9,0,0,0,0
6,6,0,13.6,12.2,13
10,10,0,15.5,14,15
6,4,0,13.85714286,14.28571429,14
10,4,0,11.5,10,11
4,6,0,13,12.16666667,13
3,11,0,14,13,14
5,8,0,0,0,0
10,4,0,11.16666667,11.5,11
10,5,0,0,0,0
6,8,0,12.14285714,13.66666667,13
10,10,0,14.14571429,13.62777778,14
4,4,0,14.45,14.14444444,14
5,5,0,15.71428571,15,15
5,5,0,12.8,12.66666667,13
5,6,0,12.5,11.5,12
5,5,0,14.5,12.83333333,14
4,6,0,13.46285714,13.16428571,13
10,12,0,12.83333333,12.83333333,13
10,10,0,12,11.6,12
10,4,0,0,0,0
5,8,0,14.71428571,13.2,14
10,10,0,12.57142857,13.28571429,13
10,10,0,12.5,11.5,12
5,4,0,14,14,14
6,8,0,11.57142857,13.16666667,12
10,8,0,15.83333333,15.33333333,16
5,6,0,14.25,14.25,14
4,6,0,0,0,0
4,4,0,11.66666667,11,11
1,1,0,0,0,0
10,3,0,13.2,12.5,13
10,7,1,12,10,11
12,6,1,0,0,0
4,5,1,12,11,12
4,5,1,13.33333333,10.75,12
24,44,1,12.41428571,13.5,13
3,9,1,0,0,0
4,11,1,13.8,12.4,13
10,10,0,0,0,0
4,5,1,11.5,14,13
4,1,1,0,0,0
10,6,0,14.01666667,14.01666667,14
10,10,0,11.4,10.8,11
10,9,0,0,0,0
32,23,0,10.4,12,11
10,10,0,10.66666667,10.25,10
3,6,0,14.25,12.71428571,13
5,5,0,13.91428571,14.10625,14
2,2,0,13.76111111,12.82375,13
5,6,0,12.6,11.25,12
10,10,0,13.85714286,14.16666667,14
10,10,1,13.84285714,13.84285714,14
6,6,1,0,0,0
