STUDENTID,GENDER,FJOB,MJOB,GRADE
STUDENT115,1,3,3.0,3
STUDENT116,1,3,3.0,3
STUDENT117,1,4,3.0,1
STUDENT118,1,4,4.0,1
STUDENT119,1,4,3.0,1
STUDENT120,1,3,5.0,4
STUDENT121,1,3,5.0,1
STUDENT122,1,4,3.0,1
STUDENT123,1,3,3.0,0
STUDENT124,1,3,3.0,4
STUDENT125,1,4,5.0,2
STUDENT126,1,3,5.0,0
STUDENT127,1,3,3.0,4
STUDENT128,1,4,3.0,3
STUDENT129,1,4,3.0,4
STUDENT130,1,3,3.0,5
STUDENT131,1,3,3.0,4
STUDENT132,1,3,3.0,3
STUDENT133,1,3,5.0,5
STUDENT134,1,4,4.0,0
STUDENT135,1,4,3.0,2
STUDENT136,1,3,4.0,3
STUDENT137,1,3,3.0,2
STUDENT138,1,4,2.0,5
STUDENT139,1,4,5.0,3
STUDENT140,1,3,5.0,5
STUDENT141,1,3,3.0,3
STUDENT142,1,5,5.0,2
STUDENT143,1,4,4.0,0
STUDENT144,1,2,3.0,2
STUDENT145,1,4,3.0,2
STUDENT146,1,4,3.0,1
STUDENT147,1,3,3.0,0
STUDENT148,1,2,3.0,2
STUDENT149,1,2,3.0,4
STUDENT150,1,3,3.0,4
STUDENT151,1,3,3.0,0
STUDENT152,1,4,5.0,3
STUDENT153,1,4,4.0,1
STUDENT154,1,3,3.0,2
STUDENT155,1,3,3.0,0
STUDENT156,1,4,4.0,2
STUDENT157,1,3,3.0,2
STUDENT158,1,3,4.0,2
STUDENT159,1,2,3.0,2
STUDENT160,1,3,4.0,3
STUDENT161,1,2,5.0,3
STUDENT162,1,4,3.0,3
STUDENT163,1,3,3.0,5
STUDENT164,1,5,5.0,1
STUDENT165,1,5,3.0,4
STUDENT166,1,4,4.0,3
STUDENT167,1,4,4.0,0
STUDENT168,1,3,4.0,1
STUDENT169,1,2,2.0,4
STUDENT170,1,3,5.0,1
STUDENT171,1,4,3.0,1
STUDENT172,1,2,4.0,4
STUDENT173,1,3,5.0,2
STUDENT174,1,4,5.0,2
STUDENT175,1,3,3.0,3
STUDENT176,1,3,3.0,4
STUDENT177,1,3,3.0,2
STUDENT178,1,5,5.0,2
STUDENT179,1,3,3.0,0
STUDENT180,1,3,3.0,5
STUDENT181,1,4,4.0,3
STUDENT182,1,3,3.0,3
STUDENT183,1,5,4.0,0
STUDENT184,1,3,3.0,0
STUDENT185,1,4,5.0,0
STUDENT186,1,4,3.0,1
STUDENT187,1,3,3.0,0
STUDENT188,1,5,3.0,3
STUDENT189,1,3,3.0,0
STUDENT190,1,2,5.0,2
STUDENT191,1,3,3.0,3
STUDENT192,1,4,4.0,0
STUDENT193,1,4,5.0,0
STUDENT194,1,2,5.0,0
STUDENT195,1,3,3.0,2
STUDENT196,1,5,4.0,0
STUDENT197,1,3,3.0,3
STUDENT198,1,3,3.0,0
STUDENT199,1,3,4.0,4
STUDENT200,1,3,3.0,1
STUDENT201,1,4,5.0,4
STUDENT202,1,5,5.0,1
STUDENT203,1,4,4.0,2
STUDENT204,1,2,3.0,2
STUDENT205,1,3,3.0,1
STUDENT206,1,5,5.0,1
STUDENT207,1,3,3.0,3
STUDENT208,1,5,2.0,4
STUDENT209,1,4,3.0,3
STUDENT210,1,4,3.0,3
STUDENT211,1,5,4.0,3
STUDENT212,1,3,3.0,3
STUDENT213,1,3,3.0,5
STUDENT214,1,3,3.0,0
STUDENT215,1,3,5.0,2
STUDENT216,1,3,5.0,3
STUDENT217,1,3,3.0,2
STUDENT218,1,4,3.0,0
STUDENT219,1,5,3.0,0
STUDENT220,1,4,2.0,4
STUDENT221,1,4,4.0,2
STUDENT222,1,4,3.0,5
STUDENT223,1,4,4.0,3
STUDENT224,1,3,3.0,2
STUDENT225,1,3,5.0,5
STUDENT226,1,4,4.0,5
STUDENT227,1,2,4.0,4
STUDENT228,1,3,3.0,3
STUDENT229,1,5,5.0,0
STUDENT230,1,3,3.0,2
STUDENT231,1,3,5.0,3
STUDENT232,1,4,5.0,0
STUDENT233,1,4,5.0,3
STUDENT234,1,3,3.0,2
STUDENT235,1,2,3.0,5
STUDENT236,1,3,3.0,3
STUDENT237,1,4,3.0,3
STUDENT238,1,3,4.0,2
STUDENT239,1,3,3.0,4
STUDENT240,1,4,3.0,0
STUDENT241,1,5,5.0,1
STUDENT242,1,4,4.0,4
STUDENT243,1,3,3.0,4
STUDENT244,1,2,3.0,0
STUDENT245,1,2,3.0,2
STUDENT246,1,4,3.0,3
STUDENT247,1,4,4.0,3
STUDENT248,1,2,3.0,1
STUDENT249,1,4,5.0,2
STUDENT250,1,3,3.0,4
STUDENT251,1,3,3.0,2
STUDENT252,1,4,4.0,3
STUDENT253,1,4,5.0,3
STUDENT254,1,3,3.0,0
STUDENT255,1,5,5.0,1
STUDENT256,1,4,4.0,0
STUDENT257,1,4,4.0,2
STUDENT258,1,3,3.0,3
STUDENT259,1,3,3.0,3
STUDENT260,1,2,4.0,3
STUDENT261,1,4,3.0,1
STUDENT262,1,5,5.0,0
STUDENT263,1,3,3.0,2
STUDENT264,1,5,5.0,4
STUDENT265,1,3,3.0,2
STUDENT266,1,4,2.0,2
STUDENT267,1,4,3.0,5
STUDENT268,1,3,3.0,3
STUDENT269,1,3,3.0,3
STUDENT270,1,3,3.0,4
STUDENT271,1,3,5.0,3
STUDENT272,1,3,3.0,3
STUDENT273,1,3,5.0,2
STUDENT274,1,3,3.0,4
STUDENT275,1,3,5.0,5
STUDENT276,1,2,5.0,5
STUDENT277,1,4,4.0,1
STUDENT278,1,5,3.0,3
STUDENT279,1,4,3.0,4
STUDENT280,1,3,3.0,4
STUDENT281,1,3,3.0,1
STUDENT282,1,2,5.0,4
STUDENT283,1,5,3.0,4
STUDENT284,1,3,4.0,3
STUDENT285,1,5,5.0,2
STUDENT286,1,5,5.0,4
STUDENT287,1,3,3.0,2
STUDENT288,1,3,5.0,2
STUDENT289,1,5,4.0,2
STUDENT290,1,2,2.0,3
STUDENT291,1,2,5.0,5
STUDENT292,1,4,4.0,4
STUDENT293,1,5,3.0,3
STUDENT294,1,3,3.0,2
STUDENT295,1,4,4.0,1
STUDENT296,1,5,3.0,5
STUDENT297,1,3,3.0,4
STUDENT298,1,4,4.0,2
STUDENT299,1,2,5.0,3
STUDENT300,1,4,3.0,3
STUDENT301,1,4,3.0,4
STUDENT302,1,3,3.0,2
STUDENT303,1,3,5.0,5
STUDENT304,1,3,3.0,0
STUDENT305,1,4,5.0,0
STUDENT306,1,2,5.0,1
STUDENT307,1,3,3.0,5
STUDENT308,1,5,5.0,0
STUDENT309,1,5,5.0,3
STUDENT310,1,3,4.0,1
STUDENT311,1,2,3.0,5
STUDENT312,1,5,5.0,1
STUDENT313,1,3,5.0,2
STUDENT314,1,4,3.0,4
STUDENT315,1,5,5.0,0
STUDENT316,1,4,5.0,5
STUDENT317,1,4,4.0,5
STUDENT318,1,3,4.0,4
STUDENT319,1,3,3.0,2
STUDENT320,1,4,4.0,3
STUDENT321,1,3,3.0,0
STUDENT322,1,3,4.0,3
STUDENT323,1,2,3.0,4
STUDENT324,1,3,3.0,2
STUDENT325,1,3,4.0,3
STUDENT326,1,3,3.0,2
STUDENT327,1,3,3.0,3
STUDENT328,1,4,3.0,1
STUDENT329,1,5,5.0,1
STUDENT330,1,3,3.0,2
STUDENT331,1,4,3.0,3
STUDENT332,1,4,5.0,0
STUDENT333,1,4,4.0,3
STUDENT334,1,2,3.0,2
STUDENT335,1,3,5.0,4
STUDENT336,1,4,4.0,5
STUDENT337,1,2,3.0,5
STUDENT338,1,4,4.0,3
STUDENT339,1,2,3.0,2
STUDENT340,1,3,4.0,3
STUDENT341,1,2,4.0,2
STUDENT342,1,3,3.0,0
STUDENT343,1,3,3.0,3
STUDENT344,1,3,2.0,3
STUDENT345,1,2,3.0,2
STUDENT346,1,3,4.0,3
STUDENT347,1,3,3.0,2
STUDENT348,1,4,4.0,2
STUDENT349,1,3,3.0,4
STUDENT350,1,3,4.0,1
STUDENT351,1,3,3.0,2
STUDENT352,1,3,3.0,3
STUDENT353,1,3,3.0,0
STUDENT354,1,4,3.0,4
STUDENT355,1,4,5.0,0
STUDENT356,1,3,5.0,5
STUDENT357,1,3,3.0,3
STUDENT358,1,3,5.0,0
STUDENT359,1,3,4.0,0
STUDENT360,1,4,3.0,0
STUDENT361,1,2,5.0,2
STUDENT362,1,4,3.0,0
STUDENT363,1,2,3.0,1
STUDENT364,1,3,3.0,4
STUDENT365,1,2,3.0,4
STUDENT366,1,3,4.0,5
STUDENT367,1,3,5.0,4
STUDENT368,1,4,3.0,1
STUDENT369,1,5,3.0,4
STUDENT370,1,3,3.0,3
STUDENT371,1,5,3.0,4
STUDENT372,1,4,3.0,1
STUDENT373,1,4,5.0,4
STUDENT374,1,3,2.0,3
STUDENT375,1,4,5.0,0
STUDENT376,1,3,3.0,3
STUDENT377,1,3,3.0,0
STUDENT378,1,5,5.0,5
STUDENT379,1,4,4.0,3
STUDENT380,1,4,3.0,4
STUDENT381,1,4,3.0,1
STUDENT382,1,3,3.0,4
STUDENT383,1,4,3.0,0
STUDENT384,1,3,3.0,3
STUDENT385,1,2,3.0,1
STUDENT386,1,5,5.0,1
STUDENT387,1,3,3.0,2
STUDENT388,1,3,3.0,2
STUDENT389,1,3,5.0,2
STUDENT390,1,4,4.0,4
STUDENT391,1,3,5.0,1
STUDENT392,1,4,3.0,2
STUDENT393,1,4,4.0,1
STUDENT394,1,2,3.0,2
STUDENT395,1,4,5.0,4
STUDENT396,1,3,5.0,3
STUDENT397,1,2,4.0,2
STUDENT398,1,4,5.0,2
STUDENT399,1,3,3.0,4
STUDENT400,1,5,4.0,0
STUDENT401,1,4,4.0,1
STUDENT402,1,4,4.0,0
STUDENT403,1,3,3.0,1
STUDENT404,1,3,3.0,3
STUDENT405,1,3,3.0,5
STUDENT406,1,3,4.0,0
STUDENT407,1,3,4.0,4
STUDENT408,1,3,3.0,5
STUDENT409,1,5,5.0,5
STUDENT410,1,5,5.0,0
STUDENT411,1,4,4.0,5
STUDENT412,1,3,5.0,2
STUDENT413,1,2,5.0,4
STUDENT414,1,4,4.0,5
STUDENT415,1,4,3.0,2
STUDENT416,1,5,5.0,5
STUDENT417,1,3,3.0,2
STUDENT418,1,3,3.0,1
STUDENT419,1,3,3.0,2
STUDENT420,1,3,5.0,0
STUDENT421,1,3,3.0,3
STUDENT422,1,4,5.0,5
STUDENT423,1,4,5.0,0
STUDENT424,1,4,4.0,3
STUDENT425,1,4,3.0,4
STUDENT426,1,4,3.0,4
STUDENT427,1,4,4.0,4
STUDENT428,1,3,3.0,1
STUDENT429,1,5,5.0,0
STUDENT430,1,2,5.0,5
STUDENT431,1,3,3.0,2
STUDENT432,1,3,4.0,3
STUDENT433,1,3,4.0,2
STUDENT434,1,4,5.0,0
STUDENT435,1,3,5.0,5
STUDENT436,1,3,3.0,4
STUDENT437,1,3,3.0,1
STUDENT438,1,3,5.0,4
STUDENT439,1,5,3.0,0
STUDENT440,1,3,3.0,1
STUDENT441,1,3,4.0,5
STUDENT442,1,3,5.0,2
STUDENT443,1,4,3.0,2
STUDENT444,1,3,4.0,3
STUDENT445,1,2,2.0,1
STUDENT446,1,4,3.0,4
STUDENT447,1,2,3.0,5
STUDENT448,1,4,4.0,4
STUDENT449,1,4,3.0,3
STUDENT450,1,2,4.0,3
STUDENT451,1,3,3.0,4
STUDENT452,1,3,3.0,3
STUDENT453,1,3,4.0,4
STUDENT454,1,4,5.0,3
STUDENT455,1,4,3.0,1
STUDENT456,1,5,5.0,1
STUDENT457,1,4,3.0,0
STUDENT458,1,3,3.0,2
STUDENT459,1,3,5.0,4
STUDENT460,1,4,3.0,3
STUDENT461,1,3,4.0,5
STUDENT462,1,4,3.0,3
STUDENT463,1,4,3.0,1
STUDENT464,1,3,4.0,2
STUDENT465,1,3,5.0,0
STUDENT466,1,4,3.0,1
STUDENT467,1,2,3.0,3
STUDENT468,1,5,5.0,3
STUDENT469,1,3,5.0,3
STUDENT470,1,3,5.0,2
STUDENT471,1,3,3.0,3
STUDENT472,1,4,3.0,2
STUDENT473,1,2,4.0,3
STUDENT474,1,3,3.0,4
STUDENT475,1,5,5.0,0
STUDENT476,1,3,4.0,3
STUDENT477,1,3,3.0,0
STUDENT478,1,5,5.0,0
STUDENT479,1,4,4.0,3
STUDENT480,1,4,3.0,2
STUDENT481,1,5,5.0,4
STUDENT482,1,2,2.0,4
STUDENT483,1,3,3.0,0
STUDENT484,1,4,3.0,3
STUDENT485,1,3,3.0,2
STUDENT486,1,3,4.0,2
STUDENT487,1,4,5.0,1
STUDENT488,1,5,3.0,2
STUDENT489,1,4,3.0,4
STUDENT490,1,3,3.0,4
STUDENT491,1,3,4.0,2
STUDENT492,1,3,3.0,3
STUDENT493,1,3,4.0,3
STUDENT494,1,5,3.0,1
STUDENT495,1,3,3.0,3
STUDENT496,1,3,5.0,1
STUDENT497,1,3,3.0,0
STUDENT498,1,4,5.0,2
STUDENT499,1,4,3.0,3
STUDENT500,1,4,4.0,3
STUDENT501,1,3,3.0,3
STUDENT502,1,3,3.0,5
STUDENT503,1,5,5.0,1
STUDENT504,1,2,2.0,0
STUDENT505,1,4,4.0,2
STUDENT506,1,4,3.0,3
STUDENT507,1,5,3.0,4
STUDENT508,1,4,3.0,4
STUDENT509,1,3,3.0,4
STUDENT510,1,4,5.0,0
STUDENT511,1,4,3.0,0
STUDENT512,1,5,5.0,0
STUDENT513,1,5,5.0,2
STUDENT514,1,3,3.0,0
STUDENT515,1,2,3.0,0
STUDENT516,1,2,3.0,0
STUDENT517,1,5,3.0,2
STUDENT518,1,5,3.0,2
STUDENT519,1,5,5.0,1
STUDENT520,1,3,3.0,0
STUDENT521,1,3,3.0,3
STUDENT522,1,3,3.0,3
STUDENT523,1,3,3.0,4
STUDENT524,1,3,3.0,3
STUDENT525,1,2,2.0,0
STUDENT526,2,4,3.0,1
STUDENT527,2,4,3.0,1
STUDENT528,2,2,3.0,0
STUDENT529,2,3,3.0,0
STUDENT530,2,3,3.0,2
STUDENT531,2,4,5.0,2
STUDENT532,2,3,3.0,0
STUDENT533,2,4,3.0,2
STUDENT534,2,4,5.0,0
STUDENT535,2,3,3.0,0
STUDENT536,2,5,5.0,1
STUDENT537,2,5,5.0,0
STUDENT538,2,5,5.0,2
STUDENT539,2,3,4.0,3
STUDENT540,2,3,3.0,1
STUDENT541,2,3,3.0,5
STUDENT542,2,4,3.0,2
STUDENT543,2,2,5.0,3
STUDENT544,2,4,3.0,5
STUDENT545,2,2,3.0,3
STUDENT546,2,2,3.0,1
STUDENT547,2,2,3.0,4
STUDENT548,2,4,3.0,5
STUDENT549,2,3,3.0,3
STUDENT550,2,4,3.0,1
STUDENT551,2,3,5.0,2
STUDENT552,2,3,4.0,4
STUDENT553,2,2,2.0,4
STUDENT554,2,3,4.0,0
STUDENT555,2,5,5.0,0
STUDENT556,2,3,3.0,1
STUDENT557,2,5,4.0,2
STUDENT558,2,3,3.0,0
STUDENT559,2,3,3.0,1
STUDENT560,2,2,3.0,3
STUDENT561,2,3,2.0,2
STUDENT562,2,4,4.0,3
STUDENT563,2,2,5.0,1
STUDENT564,2,3,3.0,3
STUDENT565,2,3,3.0,4
STUDENT566,2,3,4.0,5
STUDENT567,2,5,3.0,0
STUDENT568,2,3,5.0,1
STUDENT569,2,3,3.0,4
STUDENT570,2,3,3.0,2
STUDENT571,2,3,3.0,2
STUDENT572,2,3,3.0,2
STUDENT573,2,2,3.0,1
STUDENT574,2,3,5.0,1
STUDENT575,2,2,3.0,0
STUDENT576,2,5,5.0,0
STUDENT577,2,3,3.0,4
STUDENT578,1,3,3.0,0
STUDENT579,1,3,3.0,2
STUDENT580,1,3,3.0,4
STUDENT581,1,2,5.0,0
STUDENT582,1,3,3.0,3
STUDENT583,1,4,3.0,3
STUDENT584,1,3,3.0,3
STUDENT585,1,4,4.0,2
STUDENT586,1,4,4.0,5
STUDENT587,1,5,5.0,3
STUDENT588,1,3,3.0,2
STUDENT589,1,4,3.0,2
STUDENT590,1,5,3.0,4
STUDENT591,1,4,3.0,5
STUDENT592,1,3,3.0,2
STUDENT593,1,5,3.0,4
STUDENT594,1,3,5.0,3
STUDENT595,1,4,5.0,4
STUDENT596,1,3,3.0,2
STUDENT597,1,5,4.0,0
STUDENT598,1,2,3.0,3
STUDENT599,1,5,4.0,4
STUDENT600,1,3,3.0,1
STUDENT601,1,3,3.0,0
STUDENT602,1,4,3.0,2
STUDENT603,1,5,3.0,5
STUDENT604,1,5,5.0,2
STUDENT605,1,3,4.0,5
STUDENT606,1,4,4.0,0
STUDENT607,1,3,4.0,0
STUDENT608,1,4,4.0,2
STUDENT609,1,3,3.0,0
STUDENT610,1,3,4.0,2
STUDENT611,1,3,3.0,3
STUDENT612,1,4,5.0,4
STUDENT613,1,2,2.0,1
STUDENT614,1,4,3.0,3
STUDENT615,1,3,3.0,2
STUDENT616,1,3,3.0,4
STUDENT617,1,3,4.0,1
STUDENT618,1,3,3.0,4
STUDENT619,1,4,5.0,3
STUDENT620,1,4,3.0,2
STUDENT621,1,3,5.0,3
STUDENT622,1,4,5.0,0
STUDENT623,1,4,3.0,0
STUDENT624,1,3,4.0,4
STUDENT625,1,3,3.0,3
STUDENT626,1,3,3.0,1
STUDENT627,1,4,4.0,1
STUDENT628,1,4,3.0,4
STUDENT629,1,4,3.0,4
STUDENT630,1,3,3.0,2
STUDENT631,1,3,3.0,2
STUDENT632,1,3,5.0,3
STUDENT633,1,4,3.0,5
STUDENT634,1,3,3.0,2
STUDENT635,1,4,3.0,4
STUDENT636,1,3,4.0,3
STUDENT637,1,3,3.0,3
STUDENT638,1,5,3.0,1
STUDENT639,1,3,5.0,2
STUDENT640,1,4,4.0,2
STUDENT641,1,5,3.0,0
STUDENT642,1,3,3.0,1
STUDENT643,1,3,5.0,2
STUDENT644,1,4,4.0,4
STUDENT645,1,4,4.0,0
STUDENT646,1,3,3.0,3
STUDENT647,1,3,4.0,0
STUDENT648,1,4,3.0,5
STUDENT649,1,4,5.0,3
STUDENT650,1,2,3.0,1
STUDENT651,1,5,3.0,5
STUDENT652,1,3,3.0,4
STUDENT653,1,4,5.0,3
STUDENT654,1,3,4.0,2
STUDENT655,1,3,4.0,1
STUDENT656,1,4,3.0,0
STUDENT657,1,2,3.0,0
STUDENT658,1,4,3.0,1
STUDENT659,1,2,3.0,2
STUDENT660,1,3,3.0,0
STUDENT661,1,3,5.0,5
STUDENT662,1,3,3.0,2
STUDENT663,1,2,5.0,4
STUDENT664,1,5,5.0,3
STUDENT665,2,4,3.0,4
STUDENT666,1,4,4.0,5
STUDENT667,1,3,3.0,2
STUDENT668,1,4,3.0,4
STUDENT669,1,3,5.0,0
STUDENT670,1,4,3.0,4
STUDENT671,1,3,3.0,1
STUDENT672,1,4,5.0,5
STUDENT673,1,4,3.0,2
STUDENT674,1,4,4.0,3
STUDENT675,1,3,3.0,4
STUDENT676,1,3,3.0,1
STUDENT677,1,4,3.0,5
STUDENT678,1,4,4.0,2
STUDENT679,2,5,5.0,0
STUDENT680,1,3,3.0,0
STUDENT681,1,3,3.0,1
STUDENT682,1,4,5.0,4
STUDENT683,1,3,5.0,4
STUDENT684,1,2,3.0,0
STUDENT685,2,3,3.0,1
STUDENT686,2,3,3.0,3
STUDENT687,2,3,2.0,1
STUDENT688,2,3,3.0,2
STUDENT689,2,3,3.0,4
STUDENT690,2,4,3.0,0
STUDENT691,2,5,3.0,0
STUDENT692,2,4,3.0,2
STUDENT693,2,4,3.0,3
STUDENT694,2,3,3.0,0
STUDENT695,2,3,3.0,5
STUDENT696,2,3,3.0,4
STUDENT697,2,5,5.0,4
STUDENT698,2,2,3.0,1
STUDENT699,2,2,3.0,2
STUDENT700,2,4,3.0,5
STUDENT701,2,4,4.0,2
STUDENT702,2,4,3.0,4
STUDENT703,2,3,3.0,3
STUDENT704,2,3,3.0,0
STUDENT705,2,3,3.0,5
STUDENT706,2,3,3.0,3
STUDENT707,2,3,5.0,2
STUDENT708,2,4,3.0,4
STUDENT709,2,3,3.0,5
STUDENT710,2,4,3.0,0
STUDENT711,2,5,5.0,0
STUDENT712,2,3,3.0,0
STUDENT713,2,5,5.0,2
STUDENT714,2,3,3.0,3
STUDENT715,2,4,4.0,4
STUDENT716,2,2,5.0,2
STUDENT717,2,5,5.0,0
STUDENT718,2,3,4.0,0
STUDENT719,2,3,3.0,5
STUDENT720,2,2,3.0,2
STUDENT721,2,5,5.0,2
STUDENT722,2,4,4.0,2
STUDENT723,2,3,3.0,0
STUDENT724,2,3,5.0,0
STUDENT725,2,2,5.0,0
STUDENT726,2,4,3.0,5
STUDENT727,2,4,4.0,4
STUDENT728,2,3,3.0,0
STUDENT729,2,4,5.0,0
STUDENT730,2,3,3.0,1
STUDENT731,2,3,3.0,2
STUDENT732,2,4,5.0,2
STUDENT733,2,4,4.0,2
STUDENT734,2,4,5.0,3
STUDENT735,2,4,4.0,0
STUDENT736,2,2,5.0,2
STUDENT737,2,4,4.0,2
STUDENT738,2,4,3.0,1
STUDENT739,2,4,4.0,1
STUDENT740,2,3,3.0,3
STUDENT741,2,4,3.0,0
STUDENT742,2,3,3.0,3
STUDENT743,2,4,4.0,2
STUDENT744,2,3,5.0,0
STUDENT745,2,3,3.0,5
STUDENT746,2,3,5.0,0
STUDENT747,2,5,5.0,1
STUDENT748,2,4,3.0,1
STUDENT749,2,4,5.0,0
STUDENT750,1,4,3.0,4
STUDENT751,1,3,3.0,3
STUDENT752,1,3,3.0,5
STUDENT753,1,4,4.0,3
STUDENT754,1,3,4.0,0
STUDENT755,2,3,3.0,2
STUDENT756,2,3,5.0,0
STUDENT757,2,3,3.0,2
STUDENT758,2,5,3.0,1
STUDENT759,2,4,4.0,3
STUDENT760,1,3,3.0,2
STUDENT761,2,3,3.0,2
STUDENT762,2,2,2.0,0
STUDENT763,2,3,3.0,2
STUDENT764,2,4,3.0,0
STUDENT765,2,3,3.0,3
STUDENT766,2,2,3.0,1
STUDENT767,1,5,5.0,2
STUDENT768,1,2,5.0,3
STUDENT769,2,4,3.0,4
STUDENT770,2,3,3.0,4
STUDENT771,1,3,3.0,5
STUDENT772,1,3,3.0,0
STUDENT773,1,3,5.0,3
STUDENT774,1,2,5.0,2
STUDENT775,1,3,3.0,2
STUDENT776,1,4,5.0,2
STUDENT777,1,5,5.0,5
STUDENT778,1,3,5.0,3
STUDENT779,1,2,3.0,4
STUDENT780,1,3,3.0,4
STUDENT781,1,4,4.0,5
STUDENT782,1,5,3.0,1
STUDENT783,1,3,4.0,5
STUDENT784,1,4,2.0,3
STUDENT785,1,3,3.0,2
STUDENT786,1,2,2.0,2
STUDENT787,1,3,2.0,4
STUDENT788,1,3,5.0,5
STUDENT789,1,5,5.0,4
STUDENT790,1,5,3.0,0
STUDENT791,1,3,3.0,4
STUDENT792,2,3,3.0,0
STUDENT793,1,3,3.0,2
STUDENT794,1,3,3.0,4
STUDENT795,1,4,4.0,2
STUDENT796,1,3,3.0,4
STUDENT797,1,3,3.0,3
STUDENT798,1,3,5.0,3
STUDENT799,1,3,3.0,4
STUDENT800,1,4,4.0,3
STUDENT801,1,3,4.0,2
STUDENT802,1,3,3.0,0
STUDENT803,1,3,3.0,2
STUDENT804,1,3,3.0,4
STUDENT805,1,4,3.0,4
STUDENT806,1,4,3.0,0
STUDENT807,1,3,4.0,2
STUDENT808,1,2,3.0,3
STUDENT809,1,4,5.0,0
STUDENT810,1,4,3.0,2
STUDENT811,1,5,3.0,0
STUDENT812,1,4,3.0,4
STUDENT813,1,3,3.0,4
STUDENT814,1,4,4.0,4
STUDENT815,1,5,5.0,5
STUDENT816,1,5,5.0,3
STUDENT817,1,3,5.0,2
STUDENT818,1,5,5.0,3
STUDENT819,1,3,4.0,3
STUDENT820,1,5,3.0,3
