school,GENDER,Pstatus,Medu,Fedu,MOTHER_JOB,FATHER_JOB,GRADE
GP,F,T,3,4,services,other,15
GP,F,A,3,1,services,at_home,13
GP,F,T,3,2,other,other,0
GP,F,T,3,3,services,services,17
GP,F,A,3,2,other,other,10
GP,F,T,2,1,services,services,11
GP,M,T,4,4,teacher,services,0
GP,M,T,3,4,services,other,15
GP,F,A,2,2,at_home,at_home,0
GP,F,T,2,3,at_home,other,10
GP,F,T,3,2,other,services,14
GP,M,T,4,3,teacher,services,16
GP,M,T,4,3,teacher,other,9
GP,F,T,4,3,health,other,15
MS,M,T,3,2,other,other,13
MS,M,T,1,1,other,services,8
MS,M,T,3,3,health,other,13
MS,M,T,1,3,at_home,services,8
MS,M,T,1,1,other,other,8
MS,M,T,4,3,services,other,11
MS,F,T,3,3,services,services,9
MS,F,T,4,4,teacher,services,13
MS,F,A,3,2,services,other,11
MS,M,T,1,1,other,services,10
MS,F,T,1,1,at_home,services,16
MS,F,A,1,4,at_home,other,13
MS,M,T,1,1,at_home,other,12
MS,F,T,3,3,services,services,10
MS,F,T,4,4,at_home,at_home,15
MS,F,T,1,2,other,services,12
MS,M,T,1,3,at_home,other,10
MS,M,T,4,4,teacher,services,13
MS,F,T,1,1,other,services,0
MS,F,T,2,3,at_home,services,10
MS,F,T,4,4,other,teacher,11
MS,F,T,3,2,services,services,9
MS,M,T,1,2,at_home,services,12
MS,F,T,2,2,other,at_home,11
MS,F,T,1,2,other,other,5
MS,F,T,4,4,other,other,19
MS,F,T,1,1,other,other,10
MS,F,T,4,2,health,other,15
MS,F,T,4,4,teacher,services,10
MS,F,T,3,3,other,other,15
MS,F,T,3,1,at_home,other,10
MS,M,T,4,4,teacher,teacher,14
MS,M,T,2,1,other,other,7
MS,M,T,2,3,other,services,10
MS,M,T,1,1,other,services,0
MS,M,T,4,2,other,other,5
MS,F,T,2,2,at_home,other,10
MS,F,T,4,4,teacher,at_home,6
MS,F,T,2,3,services,other,0
MS,F,T,3,1,teacher,services,8
MS,F,T,1,1,other,other,0
MS,M,A,2,2,services,services,9
MS,M,T,3,1,services,services,16
MS,M,T,1,1,other,other,7
MS,M,T,3,2,services,other,10
MS,M,T,1,1,other,at_home,9
